Location,Date,Type(s),Name,Speakers,slides,Place
Riyadh,"November 7, 2026",hackathon,Cursor Build Sprint: Industry Challenge,,,
Riyadh,"October 3, 2026",meetup,Cursor Builders: Build a Tiny MCP Server (Demo),,,
Riyadh,"September 5, 2026",meetup,"Cursor for Product Teams: PRDs, QA, and Shipping Rituals",,,
Riyadh,"August 1, 2026",hackathon,"Cursor Build Sprint: Media & Entertainment Products ",,,
Riyadh,"July 4, 2026",meetup,"MCPs, Tools, and Real Integrations",,,
Riyadh,"June 6, 2026",hackathon,Cursor Build Sprint: Tech for Good,,,
Riyadh,"May 2, 2026",meetup,Cursor Playbook: From Idea → PR in One Hour,,,
Riyadh,"April 4, 2026",hackathon,Cursor Build Sprint: Fintech MVPs,,,
Riyadh,"April 4, 2026",meetup,Cursor For Everyone: Workflows Without Coding,,,
Riyadh,"March 7, 2026",meetup,Cursor Deep Dive: How Cursor Thinks (Guest: Cursor Engineer),,,
Riyadh,"January 10, 2026",meetup,The AI Dev Stack with Cursor,Mazen Alotaibi,,
Riyadh,"December 25, 2025",meetup,Contributing to Open Source with Cursor,"Mazen Alotaibi, Mohammed Usman","https://github.com/cursor-sa/events-slides/blob/main/2025-12-riyadh-meetup.pdf, https://github.com/cursor-sa/events-slides/blob/main/2025-12-riyadh-meetup-guest-speaker.pdf",
Riyadh,"November 11, 2025",meetup,Introduction to AI Tools for Game Develoeprs,Mazen Alotaibi,https://github.com/cursor-sa/events-slides/blob/main/2025-11-riyadh-ai-game.pdf,
Riyadh,"October 24, 2025",meetup,Introduction to Cursor,Mazen Alotaibi,https://github.com/cursor-sa/events-slides/blob/main/2025-10-riyadh-hackathon.pdf,
Khobar,"August 5, 2025",meetup,Introduction to Cursor,Abdulhakeem Almidan,https://www.notion.so.,
Riyadh,"July 30, 2025",workshop,Build your MVP with AI!,"Faris Hijazi, Mazen Alotaibi",https://github.com/cursor-sa/events-slides/blob/main/2025-07-riyadh-workshop.pdf,
Riyadh,"May 28, 2025",meetup,Kickoff,"Abdullah Mosaibah, Dan (Cursor), Mazen Alotaibi",https://github.com/cursor-sa/events-slides/blob/main/2025-05-riyadh-meetup.pdf,